row_number,status,duplicate_of,date,amount,type,category,description,vendor,customer,payment_method,reference_number,invoice_number,gst_amount,tds_amount,status,notes
1667,duplicate_flagged,Same invoice number as an existing transaction,2022-01-07,469652.16,income,Sales,Export order payment,,Retail Buyer,upi,REF2022507989,INV-2022-55739,102736.41,0.0,completed,
1668,imported,,2026-05-26,112857.37,expense,Professional Fees,Raw material purchase,,,cash,REF2026318552,INV-2026-42900,0.0,0.0,completed,
1669,imported,,2021-10-22,76837.24,expense,Bank Charges,Vendor invoice settlement,Metro Logistics,,cash,REF2021976497,INV-2021-74803,0.0,0.0,completed,
1670,imported,,2022-11-09,282379.15,income,Other Income,Retainer fee received,,,upi,REF2022422596,INV-2022-44944,39709.57,0.0,completed,
1671,imported,,2022-09-06,67405.56,expense,Office Supplies,Vendor invoice settlement,Skyline Advertising,,bank_transfer,REF2022910246,INV-2022-80263,0.0,0.0,completed,
1672,imported,,2023-11-14,26108.9,expense,Other Expense,Employee salary disbursement,Skyline Advertising,,upi,REF2023166290,INV-2023-95568,0.0,0.0,pending,
1673,imported,,2023-12-13,111339.39,expense,Travel,Monthly office rent,Fusion IT Services,,upi,REF2023861384,INV-2023-46507,0.0,0.0,completed,
1674,imported,,2022-09-19,337621.0,income,Sales,Retainer fee received,,,cash,REF2022419527,INV-2022-74058,80113.46,0.0,completed,
1675,imported,,2021-09-16,273404.94,income,Other Income,Export order payment,,,bank_transfer,REF2021984202,INV-2021-95436,0.0,0.0,completed,
1676,imported,,2023-07-07,166259.08,tax,Bank Charges,TDS remittance to government,Skyline Advertising,,net_banking,REF2023827718,INV-2023-21420,0.0,0.0,completed,
1677,imported,,2023-10-15,240312.08,income,Service Revenue,Retainer fee received,,Corporate Client,bank_transfer,REF2023704886,INV-2023-24417,64083.22,0.0,completed,
1678,imported,,2023-08-26,5183.28,expense,Office Supplies,Courier and freight charges,Prime Stationery,,debit_card,REF2023565784,INV-2023-44997,202.47,0.0,completed,
1679,imported,,2023-07-08,70756.28,expense,Rent,Monthly office rent,CloudNet Hosting,,bank_transfer,REF2023291927,INV-2023-34039,12129.65,0.0,pending,
1680,imported,,2023-08-31,49498.7,expense,Other Expense,Employee salary disbursement,,,credit_card,REF2023809102,INV-2023-88354,4640.5,0.0,completed,
1681,imported,,2025-02-19,1239655.51,loan,Other Expense,Loan disbursement received,,,cheque,REF2025519225,INV-2025-13154,0.0,0.0,completed,
1682,imported,,2024-06-13,41846.08,tax,Bank Charges,TDS remittance to government,,,cash,REF2024161533,INV-2024-44388,0.0,0.0,completed,
1683,imported,,2025-04-21,66528.73,expense,Professional Fees,Repair and maintenance work,CloudNet Hosting,,cheque,REF2025979688,INV-2025-18020,2598.78,1330.57,completed,
1684,imported,,2025-10-28,270571.35,income,Service Revenue,Client project milestone payment,,,bank_transfer,REF2025614366,INV-2025-25728,0.0,0.0,completed,
1685,duplicate_flagged,Same reference number as an existing transaction,2025-05-20,457637.96,income,Sales,Invoice payment received,,,bank_transfer,REF2025659827,INV-2025-65428,73548.96,0.0,completed,
1686,imported,,2024-12-22,58367.24,salary,Salaries,Monthly salary payout,,,cheque,REF2024191328,INV-2024-98417,0.0,583.67,pending,
1687,imported,,2023-08-06,452392.95,investment,Professional Fees,Mutual fund investment,,,upi,REF2023727902,INV-2023-33544,0.0,0.0,completed,Zahlung erhalten
1688,imported,,2022-10-09,4716.81,other,Other Expense,Miscellaneous transaction,,,cash,REF2022878566,INV-2022-46429,0.0,0.0,completed,
1689,imported,,2025-11-09,741678.97,investment,Bank Charges,Mutual fund investment,,,upi,REF2025859881,INV-2025-80618,0.0,0.0,completed,
1690,imported,,2024-12-19,33424.74,expense,Rent,Software subscription renewal,Horizon Freight,,upi,REF2024708067,INV-2024-16790,3819.97,0.0,completed,支払いを受け取りました
1691,imported,,2021-07-21,937231.17,investment,Utilities,Mutual fund investment,,,bank_transfer,REF2021532292,INV-2021-92681,0.0,0.0,completed,
1692,duplicate_flagged,Same invoice number as an existing transaction,2024-02-25,96165.16,expense,Rent,Business travel expense,Fusion IT Services,,upi,REF2024257519,INV-2024-79296,0.0,0.0,pending,
1693,imported,,2021-06-01,198323.75,tax,Bank Charges,TDS remittance to government,Horizon Freight,,net_banking,REF2021632301,INV-2021-96477,0.0,0.0,completed,
1694,duplicate_flagged,Same invoice number as an existing transaction,2021-09-29,11474.24,expense,Other Expense,Courier and freight charges,Delta Security Services,,cash,REF2021818718,INV-2021-24723,512.24,0.0,pending,
1695,imported,,2024-03-22,71067.1,income,Sales,Export order payment,,Walk-in Customer,cash,REF2024351771,INV-2024-91906,0.0,0.0,completed,
1696,duplicate_flagged,Same invoice number as an existing transaction,2022-10-04,11073.43,refund,Professional Fees,GST input refund,,Retail Buyer,bank_transfer,REF2022760827,INV-2022-95322,0.0,0.0,completed,
1697,imported,,2025-06-07,151141.37,income,Service Revenue,Client project milestone payment,,,bank_transfer,REF2025412744,INV-2025-31273,6747.38,0.0,completed,
1698,duplicate_flagged,Same invoice number as an existing transaction,2026-05-07,136798.76,income,Other Income,Export order payment,,Retail Buyer,cash,REF2026524745,INV-2026-17706,21985.51,0.0,completed,
1699,imported,,2022-12-23,13087.58,tax,Other Expense,GST liability payment,Fusion IT Services,,cheque,REF2022368269,INV-2022-75697,0.0,0.0,completed,
1700,imported,,2021-05-04,971042.81,investment,Professional Fees,Mutual fund investment,,,credit_card,REF2021967244,INV-2021-45648,0.0,0.0,pending,
1701,imported,,2024-01-16,61022.39,salary,Salaries,Monthly salary payout,,,debit_card,REF2024487384,INV-2024-46234,0.0,1220.45,completed,
1702,imported,,2023-11-06,304137.91,income,Other Income,Invoice payment received,,Retail Buyer,net_banking,REF2023397485,INV-2023-86717,32586.2,0.0,completed,
1703,imported,,2022-04-13,87063.86,income,Other Income,Client project milestone payment,,Retail Buyer,bank_transfer,REF2022691056,INV-2022-91249,21765.97,0.0,completed,
1704,imported,,2026-05-05,133475.19,expense,Utilities,Courier and freight charges,Delta Security Services,,upi,REF2026929555,INV-2026-81848,0.0,0.0,completed,
1705,imported,,2025-03-25,74415.75,expense,Utilities,Electricity bill payment,Fusion IT Services,,upi,REF2025112957,INV-2025-49466,11959.67,0.0,completed,
1706,imported,,2025-07-14,90003.69,expense,Utilities,Raw material purchase,,,upi,REF2025522000,INV-2025-11290,3515.77,0.0,pending,
1707,duplicate_flagged,Same invoice number as an existing transaction,2021-08-16,143496.29,expense,Travel,Electricity bill payment,,,credit_card,REF2021793459,INV-2021-39730,0.0,0.0,completed,
1708,imported,,2025-10-19,289581.33,income,Interest Income,Export order payment,,,net_banking,REF2025259704,INV-2025-93305,0.0,0.0,completed,
1709,imported,,2022-02-22,222813.71,tax,Bank Charges,Advance tax payment,Apex Office Supplies,,wallet,REF2022445512,INV-2022-91406,0.0,0.0,completed,
1710,imported,,2021-06-03,287262.71,income,Other Income,Service contract payment,,,credit_card,REF2021547349,INV-2021-66112,71815.68,0.0,completed,
1711,duplicate_flagged,Same invoice number as an existing transaction,2025-10-29,77570.91,loan,Marketing,Business loan EMI,CloudNet Hosting,,net_banking,REF2025104523,INV-2025-21164,0.0,0.0,completed,
1712,imported,,2024-03-13,64705.89,expense,Marketing,Monthly office rent,,,debit_card,REF2024260364,INV-2024-95411,0.0,0.0,completed,
1713,imported,,2022-09-10,124913.4,investment,Utilities,Fixed deposit placement,,,wallet,REF2022433434,INV-2022-39561,0.0,0.0,completed,
1714,imported,,2021-04-27,7964.1,expense,Bank Charges,Employee salary disbursement,CloudNet Hosting,,other,REF2021176833,INV-2021-75054,0.0,0.0,completed,
1715,duplicate_flagged,Same invoice number as an existing transaction,2022-04-03,193709.66,salary,Salaries,Monthly salary payout,,,credit_card,REF2022253734,INV-2022-53715,0.0,0.0,completed,
1716,duplicate_flagged,Same invoice number as an existing transaction,2023-10-29,6239.15,expense,Travel,Business travel expense,,,credit_card,REF2023949729,INV-2023-48525,0.0,0.0,completed,
1717,imported,,2023-09-01,17707.98,income,Other Income,Export order payment,,Walk-in Customer,debit_card,REF2023234921,INV-2023-39555,0.0,0.0,pending,
1718,imported,,2021-08-25,394281.66,income,Sales,Client project milestone payment,,,wallet,REF2021821484,INV-2021-83054,0.0,0.0,completed,
1719,imported,,2023-03-22,57652.29,expense,Travel,Software subscription renewal,Metro Logistics,,net_banking,REF2023685466,INV-2023-56401,2745.35,0.0,completed,
1720,duplicate_flagged,Same invoice number as an existing transaction,2025-09-26,92949.35,expense,Marketing,Employee salary disbursement,Metro Logistics,,cash,REF2025517722,INV-2025-16146,15934.17,0.0,completed,
1721,imported,,2023-01-14,1786649.02,loan,Rent,Business loan EMI,Apex Office Supplies,,cash,REF2023898112,INV-2023-42590,0.0,0.0,completed,
1722,imported,,2022-06-03,1181247.04,loan,Professional Fees,Loan disbursement received,,,upi,REF2022904446,INV-2022-15230,0.0,0.0,completed,
1723,imported,,2025-06-02,15415.67,income,Other Income,Export order payment,,Retail Buyer,bank_transfer,REF2025660126,INV-2025-80842,3657.96,0.0,completed,
1724,imported,,2022-07-29,174560.17,income,Other Income,Export order payment,,Walk-in Customer,cash,REF2022238570,INV-2022-36225,8312.39,0.0,completed,
1725,duplicate_flagged,Same invoice number as an existing transaction,2024-05-18,72548.6,expense,Office Supplies,Electricity bill payment,Apex Office Supplies,,net_banking,REF2024812506,INV-2024-25398,11659.6,0.0,completed,
1726,imported,,2025-10-17,87112.56,salary,Salaries,Staff salary - payroll run,,,bank_transfer,REF2025205130,INV-2025-22615,0.0,871.13,completed,
1727,imported,,2021-12-01,16893.47,expense,Professional Fees,Courier and freight charges,Greenfield Packaging,,cash,REF2021937519,INV-2021-99619,1583.76,0.0,completed,
1728,imported,,2022-11-28,242722.61,income,Sales,Invoice payment received,,,cheque,REF2022657656,INV-2022-98984,0.0,0.0,pending,
1729,imported,,2021-08-29,412322.76,income,Interest Income,Export order payment,,,bank_transfer,REF2021864616,INV-2021-41965,0.0,0.0,completed,
1730,duplicate_flagged,Same invoice number as an existing transaction,2025-03-10,113889.83,expense,Professional Fees,Repair and maintenance work,,,wallet,REF2025480949,INV-2025-40420,19523.97,11388.98,completed,
1731,imported,,2024-02-23,203635.96,income,Interest Income,Retainer fee received,,Walk-in Customer,bank_transfer,REF2024952073,INV-2024-16793,0.0,0.0,completed,
1732,imported,,2021-09-27,134691.18,salary,Salaries,Monthly salary payout,,,credit_card,REF2021549770,INV-2021-44862,0.0,0.0,completed,
1733,duplicate_flagged,Same invoice number as an existing transaction,2022-03-04,8993.6,expense,Salaries,Courier and freight charges,,,upi,REF2022250116,INV-2022-57819,0.0,179.87,completed,
1734,duplicate_flagged,Same invoice number as an existing transaction,2023-04-21,34843.53,expense,Rent,Software subscription renewal,CloudNet Hosting,,upi,REF2023511485,INV-2023-15460,3266.58,0.0,completed,
1735,imported,,2024-12-15,32507.23,transfer,Travel,Petty cash transfer,,,wallet,REF2024760775,INV-2024-87402,0.0,0.0,completed,
1736,imported,,2022-11-06,4629.39,adjustment,Salaries,Rounding-off adjustment,,,upi,REF2022638752,INV-2022-21870,0.0,0.0,completed,
1737,imported,,2026-03-21,125877.35,expense,Travel,Software subscription renewal,,,upi,REF2026517476,INV-2026-63234,0.0,0.0,completed,
1738,imported,,2023-01-05,104971.82,expense,Professional Fees,Raw material purchase,Fusion IT Services,,credit_card,REF2023207530,INV-2023-65050,27992.49,2099.44,completed,
1739,imported,,2023-03-25,120006.59,expense,Rent,Electricity bill payment,Reliable Electricals,,bank_transfer,REF2023128493,INV-2023-19306,30001.65,0.0,completed,
1740,imported,,2021-07-20,700253.39,loan,Bank Charges,Business loan EMI,Reliable Electricals,,bank_transfer,REF2021235212,INV-2021-33493,0.0,0.0,completed,
1741,imported,,2021-07-25,106506.35,expense,Travel,Courier and freight charges,,,upi,REF2021483114,INV-2021-38022,0.0,0.0,completed,
1742,duplicate_flagged,Same invoice number as an existing transaction,2024-06-16,140049.66,expense,Rent,Business travel expense,,,net_banking,REF2024650201,INV-2024-93522,0.0,0.0,completed,
1743,imported,,2023-02-06,58373.82,expense,Rent,Raw material purchase,Prime Stationery,,net_banking,REF2023437923,INV-2023-89596,0.0,0.0,completed,
1744,imported,,2021-07-10,387138.39,income,Service Revenue,Service contract payment,,,credit_card,REF2021882334,INV-2021-72687,18435.16,0.0,completed,
1745,imported,,2023-12-28,124738.28,income,Service Revenue,Client project milestone payment,,,cash,REF2023991613,INV-2023-28829,0.0,0.0,completed,
1746,imported,,2022-09-13,894.37,other,Other Expense,Sundry payment,,,upi,REF2022239850,INV-2022-52226,0.0,0.0,completed,
1747,imported,,2024-09-16,43001.42,refund,Utilities,Vendor refund received,,Walk-in Customer,cash,REF2024370833,INV-2024-31671,0.0,0.0,completed,
1748,duplicate_flagged,Same reference number as an existing transaction,2021-07-05,41429.87,tax,Bank Charges,Advance tax payment,Metro Logistics,,upi,REF2021363572,INV-2021-10017,0.0,0.0,completed,
1749,imported,,2022-01-09,110146.82,income,Interest Income,Retainer fee received,,Corporate Client,net_banking,REF2022618671,INV-2022-96486,26136.53,0.0,pending,
1750,imported,,2023-03-02,19200.29,expense,Professional Fees,Business travel expense,Greenfield Packaging,,net_banking,REF2023439327,INV-2023-67202,2194.32,1920.03,completed,
1751,imported,,2025-08-02,380392.19,income,Service Revenue,Export order payment,,Retail Buyer,upi,REF2025234512,INV-2025-74587,14859.07,0.0,pending,
1752,imported,,2025-09-30,96945.72,salary,Salaries,Staff salary - payroll run,,,bank_transfer,REF2025317406,INV-2025-83205,0.0,0.0,completed,
1753,imported,,2022-12-15,71959.66,income,Interest Income,Invoice payment received,,,cheque,REF2022188934,INV-2022-14927,17075.17,0.0,completed,
1754,imported,,2025-07-02,110363.75,tax,Bank Charges,GST liability payment,Fusion IT Services,,net_banking,REF2025244409,INV-2025-58660,0.0,0.0,completed,
1755,imported,,2025-03-18,205394.79,income,Interest Income,Retainer fee received,,,cheque,REF2025765104,INV-2025-62892,0.0,0.0,pending,
1756,imported,,2024-11-13,295167.98,income,Sales,Retainer fee received,,,cash,REF2024648110,INV-2024-38519,50600.23,0.0,completed,
1757,imported,,2024-07-20,151917.17,salary,Salaries,Monthly salary payout,,,upi,REF2024430295,INV-2024-51101,0.0,0.0,completed,
1758,imported,,2022-11-29,32628.44,expense,Utilities,Software subscription renewal,,,debit_card,REF2022719160,INV-2022-43719,1553.74,0.0,completed,
1759,imported,,2022-08-29,2639.29,expense,Rent,Repair and maintenance work,Greenfield Packaging,,upi,REF2022558162,INV-2022-31410,0.0,0.0,completed,
1760,imported,,2022-03-20,124041.29,expense,Utilities,Employee salary disbursement,Greenfield Packaging,,cash,REF2022882786,INV-2022-76062,13290.14,0.0,completed,
1761,imported,,2021-07-28,49608.2,expense,Other Expense,Employee salary disbursement,,,bank_transfer,REF2021404216,INV-2021-18833,0.0,0.0,completed,
1762,imported,,2023-06-30,156443.94,income,Interest Income,Client project milestone payment,,,bank_transfer,REF2023510428,INV-2023-13211,21999.93,0.0,completed,
1763,imported,,2026-01-18,93210.14,expense,Bank Charges,Vendor invoice settlement,Fusion IT Services,,upi,REF2026943039,INV-2026-25640,0.0,0.0,completed,
1764,imported,,2021-10-20,62920.46,expense,Marketing,Software subscription renewal,,,cash,REF2021868034,INV-2021-68932,13763.85,0.0,completed,
1765,imported,,2023-03-23,33477.08,salary,Salaries,Staff salary - payroll run,,,net_banking,REF2023280510,INV-2023-43392,0.0,3347.71,completed,
1766,imported,,2024-03-23,856556.92,investment,Travel,Fixed deposit placement,,,bank_transfer,REF2024816485,INV-2024-17535,0.0,0.0,completed,
1767,imported,,2022-09-08,431479.55,income,Interest Income,Service contract payment,,,net_banking,REF2022172048,INV-2022-77147,46229.95,0.0,completed,
1768,imported,,2024-02-14,116374.62,expense,Marketing,Business travel expense,,,net_banking,REF2024143931,INV-2024-18326,4931.13,0.0,pending,
1769,imported,,2021-08-03,90812.44,income,Interest Income,Retainer fee received,,,cheque,REF2021866846,INV-2021-16358,0.0,0.0,completed,
1770,imported,,2021-04-25,294021.49,income,Other Income,Service contract payment,,,net_banking,REF2021768960,INV-2021-18678,0.0,0.0,completed,
1771,imported,,2022-02-08,279843.14,income,Sales,Export order payment,,Retail Buyer,net_banking,REF2022319933,INV-2022-57523,0.0,0.0,completed,
1772,imported,,2025-02-14,106046.45,salary,Salaries,Monthly salary payout,,,net_banking,REF2025634185,INV-2025-11856,0.0,0.0,completed,
1773,imported,,2024-07-11,124292.38,expense,Other Expense,Electricity bill payment,Fusion IT Services,,cash,REF2024101142,INV-2024-32096,5548.77,0.0,completed,
1774,imported,,2022-01-12,49952.11,expense,Travel,Courier and freight charges,,,upi,REF2022118415,INV-2022-71426,1951.25,0.0,completed,
1775,imported,,2024-08-31,54921.89,expense,Rent,Repair and maintenance work,,,debit_card,REF2024169933,INV-2024-77303,0.0,0.0,completed,
1776,imported,,2025-06-24,363334.85,income,Interest Income,Invoice payment received,,,bank_transfer,REF2025924922,INV-2025-94067,0.0,0.0,completed,
1777,imported,,2022-06-25,88316.06,income,Other Income,Export order payment,,Corporate Client,bank_transfer,REF2022132640,INV-2022-94256,19319.14,0.0,completed,
1778,imported,,2023-09-26,29031.98,expense,Office Supplies,Electricity bill payment,CloudNet Hosting,,upi,REF2023984394,INV-2023-87379,0.0,0.0,pending,
1779,imported,,2026-04-04,15984.76,other,Rent,Miscellaneous transaction,,,net_banking,REF2026591508,INV-2026-80894,0.0,0.0,completed,
1780,imported,,2024-05-28,631694.45,loan,Other Expense,Business loan EMI,Apex Office Supplies,,upi,REF2024540830,INV-2024-30022,0.0,0.0,completed,
1781,duplicate_flagged,Same invoice number as an existing transaction,2024-01-25,141886.8,expense,Office Supplies,Business travel expense,,,net_banking,REF2024279582,INV-2024-39884,33668.05,0.0,completed,
1782,imported,,2023-10-05,25291.33,salary,Salaries,Staff salary - payroll run,,,credit_card,REF2023679012,INV-2023-46774,0.0,0.0,cancelled,
1783,imported,,2023-01-03,317305.16,investment,Other Expense,Fixed deposit placement,,,net_banking,REF2023181153,INV-2023-81387,0.0,0.0,completed,
1784,imported,,2024-07-08,9907.33,expense,Bank Charges,Raw material purchase,,,bank_transfer,REF2024684923,INV-2024-86156,0.0,0.0,completed,
1785,imported,,2022-09-22,1105483.13,loan,Bank Charges,Loan disbursement received,Horizon Freight,,wallet,REF2022123964,INV-2022-30388,0.0,0.0,completed,
1786,imported,,2021-11-09,94301.32,income,Sales,Service contract payment,,,net_banking,REF2021762736,INV-2021-53743,25147.02,0.0,completed,
1787,duplicate_flagged,Same invoice number as an existing transaction,2025-11-20,982024.11,loan,Professional Fees,Business loan EMI,Delta Security Services,,upi,REF2025138428,INV-2025-25521,0.0,19640.48,completed,
1788,imported,,2022-10-15,135812.3,expense,Other Expense,Software subscription renewal,,,cash,REF2022990804,INV-2022-67233,6063.05,0.0,completed,
1789,imported,,2024-09-09,62182.1,expense,Other Expense,Employee salary disbursement,,,bank_transfer,REF2024336229,INV-2024-35035,13602.33,0.0,completed,
1790,imported,,2024-12-08,899303.95,investment,Salaries,Fixed deposit placement,,,bank_transfer,REF2024205014,INV-2024-52323,0.0,0.0,completed,
1791,duplicate_flagged,Same invoice number as an existing transaction,2024-11-09,4861.98,refund,Bank Charges,GST input refund,,,cheque,REF2024747880,INV-2024-89102,0.0,0.0,completed,
1792,imported,,2024-04-05,31543.64,expense,Rent,Employee salary disbursement,Skyline Advertising,,cash,REF2024606878,INV-2024-16737,0.0,0.0,completed,
1793,imported,,2022-05-12,403593.37,investment,Bank Charges,Equity purchase,,,cash,REF2022219360,INV-2022-52506,0.0,0.0,completed,
1794,imported,,2023-09-14,177493.17,salary,Salaries,Monthly salary payout,,,bank_transfer,REF2023572209,INV-2023-90990,0.0,0.0,completed,
1795,imported,,2022-09-29,53702.64,expense,Other Expense,Employee salary disbursement,Fusion IT Services,,credit_card,REF2022596006,INV-2022-85301,0.0,0.0,completed,
1796,imported,,2022-12-02,122197.65,expense,Rent,Software subscription renewal,CloudNet Hosting,,net_banking,REF2022742940,INV-2022-51851,13965.45,0.0,completed,
1797,imported,,2026-05-23,24193.01,expense,Utilities,Employee salary disbursement,,,net_banking,REF2026344864,INV-2026-23691,0.0,0.0,pending,
1798,imported,,2023-02-08,281809.24,income,Interest Income,Service contract payment,,,upi,REF2023773744,INV-2023-31453,48310.16,0.0,completed,
1799,imported,,2024-07-08,95079.18,salary,Salaries,Staff salary - payroll run,,,debit_card,REF2024507960,INV-2024-13141,0.0,9507.92,pending,
1800,imported,,2023-03-09,111502.97,expense,Marketing,Electricity bill payment,Metro Logistics,,bank_transfer,REF2023757574,INV-2023-73839,0.0,0.0,pending,
1801,imported,,2022-02-25,134654.46,expense,Rent,Electricity bill payment,Metro Logistics,,net_banking,REF2022524137,INV-2022-83995,0.0,0.0,completed,
1802,imported,,2024-12-28,482115.15,investment,Office Supplies,Equity purchase,,,bank_transfer,REF2024839490,INV-2024-87437,0.0,0.0,completed,
1803,imported,,2021-12-20,88805.4,expense,Utilities,Monthly office rent,Skyline Advertising,,other,REF2021796713,INV-2021-93482,0.0,0.0,cancelled,
1804,imported,,2023-03-14,145392.81,expense,Office Supplies,Electricity bill payment,Delta Security Services,,upi,REF2023503146,INV-2023-34532,31804.68,0.0,pending,
1805,duplicate_flagged,Same invoice number as an existing transaction,2023-09-09,142891.47,expense,Office Supplies,Monthly office rent,Reliable Electricals,,debit_card,REF2023882872,INV-2023-61662,0.0,0.0,completed,
1806,imported,,2025-01-22,209835.04,tax,Bank Charges,TDS remittance to government,Delta Security Services,,upi,REF2025670653,INV-2025-15192,0.0,0.0,cancelled,
1807,imported,,2023-08-11,73335.68,expense,Office Supplies,Business travel expense,Greenfield Packaging,,bank_transfer,REF2023744106,INV-2023-19459,19556.18,0.0,completed,
1808,imported,,2025-08-09,128780.36,expense,Rent,Monthly office rent,Fusion IT Services,,debit_card,REF2025478007,INV-2025-66922,0.0,0.0,completed,
1809,imported,,2021-12-19,57065.59,expense,Rent,Courier and freight charges,Reliable Electricals,,bank_transfer,REF2021870770,INV-2021-94259,6114.17,0.0,completed,
1810,imported,,2025-10-19,14083.7,expense,Office Supplies,Business travel expense,Horizon Freight,,wallet,REF2025439084,INV-2025-10325,628.74,0.0,completed,
1811,imported,,2024-04-30,40233.35,transfer,Utilities,Inter-account fund transfer,,,debit_card,REF2024289339,INV-2024-79919,0.0,0.0,completed,
1812,duplicate_flagged,Same invoice number as an existing transaction,2021-08-14,61747.82,salary,Salaries,Staff salary - payroll run,,,bank_transfer,REF2021478742,INV-2021-46174,0.0,6174.78,completed,
1813,duplicate_flagged,Same reference number as an existing transaction,2021-11-21,134053.61,income,Other Income,Retainer fee received,,Retail Buyer,upi,REF2021651533,INV-2021-77771,0.0,0.0,completed,
1814,imported,,2024-01-10,97664.6,expense,Professional Fees,Electricity bill payment,Prime Stationery,,credit_card,REF2024154282,INV-2024-79250,24416.15,1953.29,completed,
1815,imported,,2023-09-05,48397.42,transfer,Professional Fees,Petty cash transfer,,,upi,REF2023279128,INV-2023-92746,0.0,483.97,completed,
1816,imported,,2024-03-10,48148.51,expense,Travel,Vendor invoice settlement,Greenfield Packaging,,bank_transfer,REF2024979702,INV-2024-16930,0.0,0.0,completed,
1817,imported,,2022-08-14,1849750.47,loan,Rent,Business loan EMI,Skyline Advertising,,upi,REF2022287910,INV-2022-35713,0.0,0.0,completed,
1818,imported,,2026-02-24,170944.11,income,Interest Income,Retainer fee received,,,debit_card,REF2026829153,INV-2026-12472,8140.2,0.0,completed,
1819,imported,,2021-06-15,56032.91,income,Sales,Export order payment,,,net_banking,REF2021368534,INV-2021-51911,0.0,0.0,completed,
1820,imported,,2024-02-28,74621.51,income,Service Revenue,Client project milestone payment,,Walk-in Customer,other,REF2024994310,INV-2024-27908,0.0,0.0,completed,
1821,imported,,2022-01-12,329232.45,income,Sales,Client project milestone payment,,,credit_card,REF2022795473,INV-2022-90471,52912.36,0.0,completed,
1822,imported,,2023-04-15,94860.05,income,Other Income,Retainer fee received,,Corporate Client,net_banking,REF2023222414,INV-2023-38138,0.0,0.0,completed,
1823,imported,,2023-06-28,152708.51,income,Interest Income,Client project milestone payment,,Walk-in Customer,upi,REF2023739014,INV-2023-68027,15529.68,0.0,completed,
1824,imported,,2023-04-01,60790.69,salary,Salaries,Monthly salary payout,,,cash,REF2023886803,INV-2023-69482,0.0,0.0,completed,
1825,duplicate_flagged,Same invoice number as an existing transaction,2023-04-09,26766.57,expense,Bank Charges,Vendor invoice settlement,,,credit_card,REF2023473514,INV-2023-63053,0.0,0.0,completed,
1826,imported,,2025-10-24,6717.06,other,Rent,Miscellaneous transaction,,,cheque,REF2025380505,INV-2025-73953,0.0,0.0,completed,
1827,imported,,2021-08-03,311696.32,income,Other Income,Retainer fee received,,Retail Buyer,cheque,REF2021536720,INV-2021-49340,50094.05,0.0,completed,
1828,duplicate_flagged,Same invoice number as an existing transaction,2026-06-05,765860.54,investment,Professional Fees,Equity purchase,,,cash,REF2026854638,INV-2026-51652,0.0,0.0,completed,
1829,imported,,2024-10-20,88129.26,transfer,Other Expense,Petty cash transfer,,,upi,REF2024455555,INV-2024-42747,0.0,0.0,completed,
1830,imported,,2023-02-23,71328.2,expense,Utilities,Business travel expense,,,wallet,REF2023776186,INV-2023-64833,7253.72,0.0,completed,
1831,imported,,2023-02-02,75131.65,expense,Professional Fees,Employee salary disbursement,Delta Security Services,,cheque,REF2023127403,INV-2023-64127,10565.39,0.0,completed,
1832,imported,,2025-08-30,136595.51,salary,Salaries,Monthly salary payout,,,bank_transfer,REF2025535453,INV-2025-22606,0.0,0.0,completed,
1833,imported,,2022-05-08,34792.98,refund,Rent,GST input refund,,Walk-in Customer,net_banking,REF2022130646,INV-2022-42092,0.0,0.0,completed,
1834,imported,,2021-10-13,277500.33,investment,Professional Fees,Fixed deposit placement,,,wallet,REF2021954084,INV-2021-73173,0.0,5550.01,pending,
1835,imported,,2021-12-07,146861.05,expense,Professional Fees,Vendor invoice settlement,,,cheque,REF2021720917,INV-2021-49039,23602.67,0.0,completed,
1836,imported,,2023-07-10,52946.24,salary,Salaries,Staff salary - payroll run,,,net_banking,REF2023955580,INV-2023-35068,0.0,0.0,completed,
1837,duplicate_flagged,Same reference number as an existing transaction,2024-01-31,127002.79,expense,Rent,Electricity bill payment,,,cash,REF2024215172,INV-2024-33792,17859.77,0.0,completed,
1838,imported,,2023-07-23,102352.82,expense,Other Expense,Monthly office rent,Reliable Electricals,,upi,REF2023331393,INV-2023-88653,10408.76,0.0,completed,
1839,imported,,2024-08-15,275748.11,investment,Office Supplies,Fixed deposit placement,,,upi,REF2024898405,INV-2024-20656,0.0,0.0,completed,
1840,imported,,2023-12-14,32908.21,refund,Salaries,GST input refund,,,upi,REF2023818957,INV-2023-45865,0.0,0.0,completed,
1841,imported,,2023-09-07,249343.78,income,Service Revenue,Invoice payment received,,,debit_card,REF2023139528,INV-2023-19687,42744.65,0.0,completed,
1842,duplicate_flagged,Same invoice number as an existing transaction,2022-02-25,134066.08,expense,Office Supplies,Monthly office rent,Horizon Freight,,credit_card,REF2022971150,INV-2022-64687,6384.1,0.0,pending,
1843,imported,,2025-07-25,104283.23,income,Interest Income,Export order payment,,Walk-in Customer,other,REF2025417051,INV-2025-82550,27808.86,0.0,completed,
1844,duplicate_flagged,Same invoice number as an existing transaction,2026-07-07,139235.77,expense,Rent,Electricity bill payment,Horizon Freight,,upi,REF2026500721,INV-2026-17701,5438.9,0.0,completed,
1845,imported,,2024-07-07,342513.36,income,Sales,Service contract payment,,,cash,REF2024241933,INV-2024-49774,0.0,0.0,completed,
1846,imported,,2021-12-01,20051.5,expense,Other Expense,Courier and freight charges,Skyline Advertising,,debit_card,REF2021432517,INV-2021-27919,1879.83,0.0,pending,
